PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22535208","PaxDb, a database of protein abundance averages across all three domains of life","Wang M, Weiss M, Simonovic M, Haertinger G, Schrimpf SP, Hengartner MO, von Mering C.","Mol Cell Proteomics. 2012 Aug;11(8):492-500. doi: 10.1074/mcp.O111.014704. Epub 2012 Apr 24.","Wang M","Mol Cell Proteomics","2012","2012/04/27","PMC3412977","","10.1074/mcp.O111.014704"
"33723253","Hierarchized phosphotarget binding by the seven human 14-3-3 isoforms","Gogl G, Tugaeva KV, Eberling P, Kostmann C, Trave G, Sluchanko NN.","Nat Commun. 2021 Mar 15;12(1):1677. doi: 10.1038/s41467-021-21908-8.","Gogl G","Nat Commun","2021","2021/03/16","PMC7961048","","10.1038/s41467-021-21908-8"
"36452865","Grabody B, an IGF1 receptor-based shuttle, mediates efficient delivery of biologics across the blood-brain barrier","Shin JW, An S, Kim D, Kim H, Ahn J, Eom J, You WK, Yun H, Lee B, Sung B, Jung J, Kim S, Son Y, Sung E, Lee H, Lee S, Song D, Pak Y, Sandhu JK, Haqqani AS, Stanimirovic DB, Yoo J, Kim D, Maeng S, Lee J, Lee SH.","Cell Rep Methods. 2022 Nov 21;2(11):100338. doi: 10.1016/j.crmeth.2022.100338. eCollection 2022 Nov 21.","Shin JW","Cell Rep Methods","2022","2022/12/01","PMC9701613","","10.1016/j.crmeth.2022.100338"
"25950722","Accounting for experimental noise reveals that mRNA levels, amplified by post-transcriptional processes, largely determine steady-state protein levels in yeast","Csárdi G, Franks A, Choi DS, Airoldi EM, Drummond DA.","PLoS Genet. 2015 May 7;11(5):e1005206. doi: 10.1371/journal.pgen.1005206. eCollection 2015 May.","Csárdi G","PLoS Genet","2015","2015/05/08","PMC4423881","","10.1371/journal.pgen.1005206"
"27260512","Selection for reduced translation costs at the intronic 5' end in fungi","Zafrir Z, Zur H, Tuller T.","DNA Res. 2016 Aug;23(4):377-94. doi: 10.1093/dnares/dsw019. Epub 2016 Jun 2.","Zafrir Z","DNA Res","2016","2016/06/05","PMC4991832","","10.1093/dnares/dsw019"
"33805243","Label-Free Quantitative Proteomic Analysis of Nitrogen Starvation in Arabidopsis Root Reveals New Aspects of H(2)S Signaling by Protein Persulfidation","Jurado-Flores A, Romero LC, Gotor C.","Antioxidants (Basel). 2021 Mar 24;10(4):508. doi: 10.3390/antiox10040508.","Jurado-Flores A","Antioxidants (Basel)","2021","2021/04/03","PMC8064375","","10.3390/antiox10040508"
"36748112","Extending the Range of SLIM-Labeling Applications: From Human Cell Lines in Culture to Caenorhabditis elegans Whole-Organism Labeling","Lignieres L, Sénécaut N, Dang T, Bellutti L, Hamon M, Terrier S, Legros V, Chevreux G, Lelandais G, Mège RM, Dumont J, Camadro JM.","J Proteome Res. 2023 Mar 3;22(3):996-1002. doi: 10.1021/acs.jproteome.2c00699. Epub 2023 Feb 6.","Lignieres L","J Proteome Res","2023","2023/02/07","PMC9990122","","10.1021/acs.jproteome.2c00699"
"35113396","Subcellular Proteomics as a Unified Approach of Experimental Localizations and Computed Prediction Data for Arabidopsis and Crop Plants","Hooper CM, Castleden IR, Tanz SK, Grasso SV, Millar AH.","Adv Exp Med Biol. 2021;1346:67-89. doi: 10.1007/978-3-030-80352-0_4.","Hooper CM","Adv Exp Med Biol","2021","2022/02/03","","","10.1007/978-3-030-80352-0_4"
"24648465","Cross-species proteomics reveals specific modulation of signaling in cancer and stromal cells by phosphoinositide 3-kinase (PI3K) inhibitors","Rajeeve V, Vendrell I, Wilkes E, Torbett N, Cutillas PR.","Mol Cell Proteomics. 2014 Jun;13(6):1457-70. doi: 10.1074/mcp.M113.035204. Epub 2014 Mar 19.","Rajeeve V","Mol Cell Proteomics","2014","2014/03/21","PMC4047466","","10.1074/mcp.M113.035204"
"24347637","Identification of secreted bacterial proteins by noncanonical amino acid tagging","Mahdavi A, Szychowski J, Ngo JT, Sweredoski MJ, Graham RL, Hess S, Schneewind O, Mazmanian SK, Tirrell DA.","Proc Natl Acad Sci U S A. 2014 Jan 7;111(1):433-8. doi: 10.1073/pnas.1301740111. Epub 2013 Dec 17.","Mahdavi A","Proc Natl Acad Sci U S A","2014","2013/12/19","PMC3890788","","10.1073/pnas.1301740111"
"29377894","The extent of ribosome queuing in budding yeast","Diament A, Feldman A, Schochet E, Kupiec M, Arava Y, Tuller T.","PLoS Comput Biol. 2018 Jan 29;14(1):e1005951. doi: 10.1371/journal.pcbi.1005951. eCollection 2018 Jan.","Diament A","PLoS Comput Biol","2018","2018/01/30","PMC5805374","","10.1371/journal.pcbi.1005951"
"24489691","Deep imaging: how much of the proteome does current top-down technology already resolve?","Wright EP, Prasad KA, Padula MP, Coorssen JR.","PLoS One. 2014 Jan 28;9(1):e86058. doi: 10.1371/journal.pone.0086058. eCollection 2014.","Wright EP","PLoS One","2014","2014/02/04","PMC3904854","","10.1371/journal.pone.0086058"
"24974296","Global analysis of cellular proteolysis by selective enzymatic labeling of protein N-termini","Wiita AP, Seaman JE, Wells JA.","Methods Enzymol. 2014;544:327-58. doi: 10.1016/B978-0-12-417158-9.00013-3.","Wiita AP","Methods Enzymol","2014","2014/06/30","PMC4260929","NIHMS646460","10.1016/B978-0-12-417158-9.00013-3"
"28855614","Predicting synonymous codon usage and optimizing the heterologous gene for expression in E. coli","Tian J, Yan Y, Yue Q, Liu X, Chu X, Wu N, Fan Y.","Sci Rep. 2017 Aug 30;7(1):9926. doi: 10.1038/s41598-017-10546-0.","Tian J","Sci Rep","2017","2017/09/01","PMC5577221","","10.1038/s41598-017-10546-0"
"28289571","Differential bicodon usage in lowly and highly abundant proteins","Diambra LA.","PeerJ. 2017 Mar 9;5:e3081. doi: 10.7717/peerj.3081. eCollection 2017.","Diambra LA","PeerJ","2017","2017/03/15","PMC5346287","","10.7717/peerj.3081"
"26750110","Direct and Absolute Quantification of over 1800 Yeast Proteins via Selected Reaction Monitoring","Lawless C, Holman SW, Brownridge P, Lanthaler K, Harman VM, Watkins R, Hammond DE, Miller RL, Sims PF, Grant CM, Eyers CE, Beynon RJ, Hubbard SJ.","Mol Cell Proteomics. 2016 Apr;15(4):1309-22. doi: 10.1074/mcp.M115.054288. Epub 2016 Jan 10.","Lawless C","Mol Cell Proteomics","2016","2016/01/12","PMC4824857","","10.1074/mcp.M115.054288"
"28725465","Network analyses based on comprehensive molecular interaction maps reveal robust control structures in yeast stress response pathways","Kawakami E, Singh VK, Matsubara K, Ishii T, Matsuoka Y, Hase T, Kulkarni P, Siddiqui K, Kodilkar J, Danve N, Subramanian I, Katoh M, Shimizu-Yoshida Y, Ghosh S, Jere A, Kitano H.","NPJ Syst Biol Appl. 2016 Jan 7;2:15018. doi: 10.1038/npjsba.2015.18. eCollection 2016.","Kawakami E","NPJ Syst Biol Appl","2016","2017/07/21","PMC5516916","","10.1038/npjsba.2015.18"
"28842485","The MukB-topoisomerase IV interaction is required for proper chromosome compaction","Kumar R, Nurse P, Bahng S, Lee CM, Marians KJ.","J Biol Chem. 2017 Oct 13;292(41):16921-16932. doi: 10.1074/jbc.M117.803346. Epub 2017 Aug 25.","Kumar R","J Biol Chem","2017","2017/08/27","PMC5641886","","10.1074/jbc.M117.803346"
"39724131","Computational Analysis of MDR1 Variants Predicts Effect on Cancer Cells via their Effect on mRNA Folding","Gutman T, Tuller T.","PLoS Comput Biol. 2024 Dec 26;20(12):e1012685. doi: 10.1371/journal.pcbi.1012685. eCollection 2024 Dec.","Gutman T","PLoS Comput Biol","2024","2024/12/26","PMC11670953","","10.1371/journal.pcbi.1012685"
"39032654","Kinase-catalyzed biotinylation for discovery and validation of substrates to multispecificity kinases NME1 and NME2","Gary CR, Acharige NPN, Oyewumi TO, Pflum MKH.","J Biol Chem. 2024 Aug;300(8):107588. doi: 10.1016/j.jbc.2024.107588. Epub 2024 Jul 18.","Gary CR","J Biol Chem","2024","2024/07/20","PMC11375270","","10.1016/j.jbc.2024.107588"
"40381888","Data-Driven Extraction of Human Kinase-Substrate Relationships From Omics Datasets","Maier BD, Petursson B, Lussana A, Petsalaki E.","Mol Cell Proteomics. 2025 Aug;24(8):100994. doi: 10.1016/j.mcpro.2025.100994. Epub 2025 May 15.","Maier BD","Mol Cell Proteomics","2025","2025/05/17","PMC12359690","","10.1016/j.mcpro.2025.100994"
"25721607","Web resources for mass spectrometry-based proteomics","Chen T, Zhao J, Ma J, Zhu Y.","Genomics Proteomics Bioinformatics. 2015 Feb;13(1):36-9. doi: 10.1016/j.gpb.2015.01.004. Epub 2015 Feb 23.","Chen T","Genomics Proteomics Bioinformatics","2015","2015/02/28","PMC4411487","","10.1016/j.gpb.2015.01.004"
